Upload Date,title,webpage_url,Duration,Video ID,Transcript
20/09/21,Dr. Matthew Johnson: Psychedelics for Treating Mental Disorders -- Huberman Lab Podcast #38,https://www.youtube.com/watch?v=GzvzWO0NU50,10325,GzvzWO0NU50,/transcripts/GzvzWO0NU50/GzvzWO0NU50__transcript.txt
27/09/21,"Controlling Your Dopamine For Motivation, Focus & Satisfaction -- Huberman Lab Podcast #39",https://www.youtube.com/watch?v=QmOF0crdyRU,8191,QmOF0crdyRU,/transcripts/QmOF0crdyRU/QmOF0crdyRU__transcript.txt
04/10/21,"Dr. Craig Heller: Using Temperature for Performance, Brain & Body Health -- Huberman Lab Podcast #40",https://www.youtube.com/watch?v=77CdVSpnUX4,6695,77CdVSpnUX4,/transcripts/77CdVSpnUX4/77CdVSpnUX4__transcript.txt
11/10/21,Effects of Fasting & Time Restricted Eating on Fat Loss & Health -- Huberman Lab Podcast #41,https://www.youtube.com/watch?v=9tRohh0gErM,8767,9tRohh0gErM,/transcripts/9tRohh0gErM/9tRohh0gErM__transcript.txt
18/10/21,Nutrients For Brain Health & Performance -- Huberman Lab Podcast #42,https://www.youtube.com/watch?v=E7W4OQfJWdw,6079,E7W4OQfJWdw,/transcripts/E7W4OQfJWdw/E7W4OQfJWdw__transcript.txt
25/10/21,"Dr. Samer Hattar: Timing Light, Food, & Exercise for Better Sleep, Energy & Mood -- Huberman Lab #43",https://www.youtube.com/watch?v=oUu3f0ETMJQ,8067,oUu3f0ETMJQ,/transcripts/oUu3f0ETMJQ/oUu3f0ETMJQ__transcript.txt
01/11/21,Using Your Nervous System to Enhance Your Immune System -- Huberman Lab Podcast #44,https://www.youtube.com/watch?v=poOf8b2WE2g,7231,poOf8b2WE2g,/transcripts/poOf8b2WE2g/poOf8b2WE2g__transcript.txt
08/11/21,Dr. Duncan French: How to Exercise for Strength Gains & Hormone Optimization -- Huberman Lab #45,https://www.youtube.com/watch?v=iMvtHqLmEkI,5405,iMvtHqLmEkI,/transcripts/iMvtHqLmEkI/iMvtHqLmEkI__transcript.txt
15/11/21,"Time Perception & Entrainment by Dopamine, Serotonin & Hormones -- Huberman Lab Podcast #46",https://www.youtube.com/watch?v=8IWDAqodDas,4457,8IWDAqodDas,/transcripts/8IWDAqodDas/8IWDAqodDas__transcript.txt
22/11/21,The Science of Gratitude & How to Build a Gratitude Practice -- Huberman Lab Podcast #47,https://www.youtube.com/watch?v=KVjfFN89qvQ,5157,KVjfFN89qvQ,/transcripts/KVjfFN89qvQ/KVjfFN89qvQ__transcript.txt
29/11/21,Dr. David Buss: How Humans Select & Keep Romantic Partners in Short & Long Term -- Huberman Lab  #48,https://www.youtube.com/watch?v=HXzTbCEqCJc,7982,HXzTbCEqCJc,/transcripts/HXzTbCEqCJc/HXzTbCEqCJc__transcript.txt
06/12/21,Erasing Fears & Traumas Based on the Modern Neuroscience of Fear -- Huberman Lab Podcast #49,https://www.youtube.com/watch?v=31wjVhCcI5Y,8030,31wjVhCcI5Y,/transcripts/31wjVhCcI5Y/31wjVhCcI5Y__transcript.txt
13/12/21,Dr. David Berson: Your Brain's Logic & Function -- Huberman Lab Podcast #50,https://www.youtube.com/watch?v=oC3fhUjg30E,6768,oC3fhUjg30E,/transcripts/oC3fhUjg30E/oC3fhUjg30E__transcript.txt
20/12/21,"Science of Social Bonding in Family, Friendship & Romantic Love -- Huberman Lab Podcast #51",https://www.youtube.com/watch?v=RgAcOqVRfYA,5602,RgAcOqVRfYA,/transcripts/RgAcOqVRfYA/RgAcOqVRfYA__transcript.txt
